,Open,High,Low,Close,Adj Close,Volume
2022-07-07 00:00:00,20547.814453125,20553.4453125,20501.65625,20530.240234375,20530.240234375,0.0
2022-07-07 01:00:00,20524.0703125,20524.0703125,20474.673828125,20499.798828125,20499.798828125,0.0
2022-07-07 02:00:00,20501.619140625,20501.619140625,20403.521484375,20405.138671875,20405.138671875,0.0
2022-07-07 03:00:00,20405.208984375,20457.1640625,20396.037109375,20454.283203125,20454.283203125,0.0
2022-07-07 04:00:00,20460.4140625,20464.296875,20377.861328125,20399.279296875,20399.279296875,0.0
2022-07-07 05:00:00,20399.59765625,20425.982421875,20306.15234375,20306.15234375,20306.15234375,0.0
2022-07-07 06:00:00,20304.181640625,20330.6015625,20296.103515625,20326.181640625,20326.181640625,0.0
2022-07-07 07:00:00,20325.068359375,20429.470703125,20325.068359375,20427.818359375,20427.818359375,0.0
2022-07-07 08:00:00,20427.201171875,20508.498046875,20401.09375,20482.142578125,20482.142578125,0.0
2022-07-07 09:00:00,20499.03125,20570.736328125,20475.806640625,20540.61328125,20540.61328125,191772672.0
2022-07-07 10:00:00,20540.779296875,20553.080078125,20473.064453125,20490.36328125,20490.36328125,0.0
2022-07-07 11:00:00,20493.193359375,20493.193359375,20441.4453125,20476.615234375,20476.615234375,0.0
2022-07-07 12:00:00,20478.78515625,20490.25,20403.00390625,20430.224609375,20430.224609375,0.0
2022-07-07 13:00:00,20427.98046875,20513.6328125,20389.2890625,20513.6328125,20513.6328125,0.0
2022-07-07 14:00:00,20516.041015625,20905.00390625,20509.5625,20892.796875,20892.796875,1407895552.0
2022-07-07 15:00:00,20895.478515625,20947.865234375,20840.453125,20865.2890625,20865.2890625,455565312.0
2022-07-07 16:00:00,20871.046875,21109.328125,20871.046875,21049.58984375,21049.58984375,0.0
2022-07-07 17:00:00,21056.640625,21061.724609375,20860.79296875,20896.75,20896.75,275089408.0
2022-07-07 18:00:00,20895.798828125,21335.412109375,20895.798828125,21335.412109375,21335.412109375,587307008.0
2022-07-07 19:00:00,21338.994140625,21732.556640625,21338.994140625,21732.556640625,21732.556640625,2099808256.0
2022-07-07 20:00:00,21771.81640625,21771.81640625,21555.99609375,21585.0625,21585.0625,897204224.0
2022-07-07 21:00:00,21591.416015625,21674.427734375,21581.47265625,21630.4609375,21630.4609375,365119488.0
2022-07-07 22:00:00,21650.453125,21713.623046875,21594.201171875,21601.146484375,21601.146484375,0.0
2022-07-07 23:00:00,21609.97265625,21686.904296875,21591.0703125,21639.91796875,21639.91796875,0.0
2022-07-08 00:00:00,21628.20703125,21684.642578125,21591.224609375,21682.662109375,21682.662109375,141508608.0
2022-07-08 01:00:00,21691.935546875,22314.94140625,21660.421875,22093.298828125,22093.298828125,1998039040.0
2022-07-08 02:00:00,22099.25390625,22113.138671875,21939.572265625,21961.5546875,21961.5546875,291041280.0
2022-07-08 03:00:00,21975.76953125,22096.951171875,21951.935546875,22096.951171875,22096.951171875,385069056.0
2022-07-08 04:00:00,22098.310546875,22164.04296875,22000.345703125,22000.345703125,22000.345703125,266049536.0
2022-07-08 05:00:00,21984.708984375,22037.244140625,21818.45703125,21852.2734375,21852.2734375,307120128.0
2022-07-08 06:00:00,21854.0078125,21854.873046875,21780.455078125,21823.8671875,21823.8671875,268306432.0
2022-07-08 07:00:00,21822.609375,21832.119140625,21759.17578125,21808.798828125,21808.798828125,158042112.0
2022-07-08 08:00:00,21798.77734375,21809.375,21588.974609375,21588.974609375,21588.974609375,173469696.0
2022-07-08 09:00:00,21547.982421875,21547.982421875,21348.123046875,21511.693359375,21511.693359375,650344448.0
2022-07-08 10:00:00,21538.849609375,21675.451171875,21511.25,21547.8828125,21547.8828125,426897408.0
2022-07-08 11:00:00,21541.119140625,21626.646484375,21498.70703125,21596.08984375,21596.08984375,275523584.0
2022-07-08 12:00:00,21584.0703125,21651.525390625,21279.53125,21357.228515625,21357.228515625,1001779200.0
2022-07-08 13:00:00,21368.84375,21438.04296875,21279.31640625,21285.654296875,21285.654296875,384569344.0
2022-07-08 14:00:00,21282.140625,21746.0546875,21265.185546875,21700.29296875,21700.29296875,5270028288.0
2022-07-08 15:00:00,21711.955078125,22010.642578125,21711.955078125,21964.404296875,21964.404296875,12821237760.0
2022-07-08 16:00:00,21960.69921875,21960.69921875,21621.873046875,21701.94140625,21701.94140625,0.0
2022-07-08 17:00:00,21692.392578125,21789.98828125,21686.76171875,21775.62109375,21775.62109375,3321688064.0
2022-07-08 18:00:00,21765.48046875,21833.1484375,21718.22265625,21732.751953125,21732.751953125,1005719552.0
2022-07-08 19:00:00,21734.431640625,21832.85546875,21703.9609375,21810.1015625,21810.1015625,512000.0
2022-07-08 20:00:00,21808.654296875,21947.40625,21785.947265625,21858.921875,21858.921875,340111360.0
2022-07-08 21:00:00,21853.78515625,21969.19140625,21809.5234375,21809.5234375,21809.5234375,269828096.0
2022-07-08 22:00:00,21783.73046875,21801.55859375,21737.494140625,21776.236328125,21776.236328125,230248448.0
2022-07-08 23:00:00,21771.8984375,21912.47265625,21753.833984375,21753.833984375,21753.833984375,418467840.0
2022-07-09 00:00:00,21716.828125,21716.828125,21506.943359375,21534.48046875,21534.48046875,1890877440.0
2022-07-09 01:00:00,21541.76171875,21583.095703125,21466.9453125,21501.798828125,21501.798828125,0.0
2022-07-09 02:00:00,21493.7265625,21599.0625,21493.7265625,21559.103515625,21559.103515625,432754688.0
2022-07-09 03:00:00,21568.1171875,21597.05859375,21498.87890625,21593.5,21593.5,607150080.0
